latitude,longitude,ts
26.2804381,73.0289703,2021-07-25 12:34:28.375
26.2804604,73.0289456,2021-07-25 12:36:28.421
26.2804421,73.0289661,2021-07-25 12:56:03.451
26.2804421,73.0289661,2021-07-25 12:58:52.304
26.2804421,73.0289661,2021-07-25 13:01:02.783
26.2804258,73.0289499,2021-07-25 13:03:05.083
26.2803636,73.0290601,2021-07-25 13:13:19.444
26.2803636,73.0290601,2021-07-25 13:43:21.425
26.2802895,73.0291708,2021-07-25 14:03:06.527
26.2802912,73.02917,2021-07-25 14:03:26.525
26.280295,73.0291665,2021-07-25 14:05:59.177
26.280295,73.0291665,2021-07-25 14:08:31.065
26.2802944,73.0291685,2021-07-25 14:25:23.873
26.2802956,73.0291706,2021-07-25 14:27:23.899
26.2802956,73.0291706,2021-07-25 14:29:26.887
26.2802956,73.0291706,2021-07-25 14:31:26.957
26.2803085,73.0285364,2021-07-25 14:33:30.179
26.280289,73.0291643,2021-07-25 14:37:32.948
26.2802948,73.0291672,2021-07-25 14:39:46.046
26.2802939,73.0291738,2021-07-25 14:42:01.019
26.2802939,73.0291738,2021-07-25 14:44:02.204
26.280306,73.0291505,2021-07-25 14:46:03.426
26.2803087,73.0291463,2021-07-25 14:48:05.361
26.2803061,73.0291556,2021-07-25 14:50:17.153
26.2803027,73.0291622,2021-07-25 14:52:18.211
26.2803037,73.0291544,2021-07-25 14:54:19.359
26.280323,73.0291022,2021-07-25 14:56:21.399
26.2803367,73.0290915,2021-07-25 14:58:22.357
26.2803068,73.0291451,2021-07-25 15:00:24.357
26.2803068,73.0291451,2021-07-25 15:04:28.124
26.2802912,73.02917,2021-07-25 15:42:51.383
26.2802941,73.0291698,2021-07-25 15:52:50.046
26.2802912,73.02917,2021-07-25 16:14:24.980
26.2802948,73.0291672,2021-07-25 16:44:46.972
26.2802929,73.029171,2021-07-25 17:18:06.598
26.2802929,73.029171,2021-07-25 17:21:32.063
26.2802929,73.029171,2021-07-25 17:23:33.483
26.2803085,73.0285364,2021-07-25 17:25:33.407
26.2802956,73.0291706,2021-07-25 17:27:35.397
26.2802956,73.0291706,2021-07-25 17:29:35.422
26.280289,73.0291643,2021-07-25 17:31:36.459
26.280289,73.0291643,2021-07-25 17:33:36.458
26.2802948,73.0291661,2021-07-25 17:35:37.532
26.2802948,73.0291661,2021-07-25 17:37:38.480
26.2802948,73.0291661,2021-07-25 17:39:39.468
26.2803085,73.0285364,2021-07-25 17:41:38.528
26.2803085,73.0285364,2021-07-25 17:43:41.507
26.2803139,73.0291155,2021-07-25 17:45:42.547
26.2803139,73.0291155,2021-07-25 17:47:43.100
26.2803139,73.0291155,2021-07-25 17:49:47.472
26.280295,73.0291665,2021-07-25 17:52:01.045
26.2802945,73.0291668,2021-07-25 17:54:03.445
26.2802912,73.02917,2021-07-25 17:56:05.493
26.2802932,73.0291682,2021-07-25 17:58:06.484
26.2802948,73.0291672,2021-07-25 18:35:02.551
26.2802938,73.0291722,2021-07-25 18:46:33.114
26.2802938,73.0291722,2021-07-25 18:47:01.038
26.2803048,73.0291591,2021-07-25 19:24:46.516
26.2803087,73.0291463,2021-07-25 19:27:00.993
26.2803226,73.029102,2021-07-25 19:47:41.522
26.2802938,73.0291722,2021-07-25 19:55:17.530
26.2802948,73.0291672,2021-07-25 20:31:26.474
26.2802948,73.0291672,2021-07-25 21:07:27.462
26.2802945,73.0291668,2021-07-25 21:23:06.232
26.2803785,73.0292982,2021-07-25 21:23:24.000
26.2803554,73.0290733,2021-07-25 22:14:49.002
26.280341,73.0290834,2021-07-26 00:00:53.878
26.2803139,73.0291155,2021-07-26 00:14:54.919
26.2803108,73.0291238,2021-07-26 00:15:16.011
26.2803547,73.0290745,2021-07-26 00:44:15.330
26.2803183,73.0291094,2021-07-26 01:22:01.094
26.2803101,73.0291403,2021-07-26 01:58:02.576
26.2803078,73.0291388,2021-07-26 02:18:13.060
26.280306,73.0291505,2021-07-26 03:03:55.228
26.2802939,73.029171,2021-07-26 03:25:51.334
26.280295,73.0291665,2021-07-26 03:41:59.221
26.2802945,73.0291668,2021-07-26 03:42:19.213
26.2803288,73.029074,2021-07-26 03:45:14.643
26.2803293,73.029072,2021-07-26 03:48:01.012
26.2803278,73.0290673,2021-07-26 04:06:51.574
26.2803281,73.0290715,2021-07-26 04:12:50.084
26.280339,73.0290645,2021-07-26 04:22:20.829
26.2803363,73.0290663,2021-07-26 04:24:34.484
26.2803363,73.0290663,2021-07-26 04:45:34.948
26.2803343,73.0290666,2021-07-26 04:48:01.081
26.2803789,73.0290554,2021-07-26 04:58:06.725
26.2803763,73.0290579,2021-07-26 05:15:00.197
26.2854062,73.0351778,2021-07-28 11:57:14.836
26.2871155,73.0368433,2021-07-28 11:57:31.000
26.2879895,73.036674,2021-07-28 11:57:43.000
26.2868128,73.037083,2021-07-28 11:59:58.766
26.3007888,73.0383282,2021-07-28 12:00:42.999
26.3009263,73.0383151,2021-07-28 12:00:45.000
26.3021601,73.038222,2021-07-28 12:01:00.000
26.3036304,73.0381402,2021-07-28 12:01:16.000
26.3050745,73.0380615,2021-07-28 12:01:32.000
26.3063475,73.0379211,2021-07-28 12:01:48.000
26.307899,73.0378463,2021-07-28 12:02:04.000
26.308992,73.0380155,2021-07-28 12:02:20.000
26.3099825,73.0388286,2021-07-28 12:02:36.000
26.310809,73.0395378,2021-07-28 12:02:51.000
26.3114068,73.0400361,2021-07-28 12:03:06.000
26.3115669,73.0401823,2021-07-28 12:03:12.000
26.3116364,73.0402449,2021-07-28 12:03:14.000
26.312564,73.0409433,2021-07-28 12:03:30.000
26.3136758,73.0416722,2021-07-28 12:03:46.000
26.3150833,73.0425375,2021-07-28 12:04:01.000
26.3165636,73.0433793,2021-07-28 12:04:16.000
26.318185,73.0441393,2021-07-28 12:04:32.000
26.3199877,73.0448758,2021-07-28 12:04:48.000
26.3205562,73.0450258,2021-07-28 12:05:03.000
26.3209117,73.0450639,2021-07-28 12:05:18.000
26.3223544,73.0449875,2021-07-28 12:05:33.000
26.3238479,73.044545,2021-07-28 12:05:49.000
26.3253951,73.0442137,2021-07-28 12:06:05.000
26.3269086,73.0434297,2021-07-28 12:06:20.000
26.3282373,73.0419605,2021-07-28 12:06:36.000
26.329849,73.0417557,2021-07-28 12:06:51.000
26.3314052,73.0423933,2021-07-28 12:07:07.000
26.3327352,73.0418758,2021-07-28 12:07:22.000
26.3338085,73.0415219,2021-07-28 12:07:38.000
26.3350759,73.0411735,2021-07-28 12:07:53.000
26.3365948,73.0408347,2021-07-28 12:08:09.000
26.3380917,73.0402991,2021-07-28 12:08:25.000
26.3396028,73.0397455,2021-07-28 12:08:41.000
26.3412707,73.0392862,2021-07-28 12:08:57.000
26.3431142,73.038729,2021-07-28 12:09:13.000
26.344765,73.0385643,2021-07-28 12:09:28.000
26.34658,73.0383284,2021-07-28 12:09:43.000
26.3480207,73.0380468,2021-07-28 12:09:59.000
26.3486597,73.0383964,2021-07-28 12:10:15.000
26.3492163,73.0401363,2021-07-28 12:10:31.000
26.3493854,73.0419197,2021-07-28 12:10:46.000
26.3508659,73.0428358,2021-07-28 12:11:01.000
26.3525014,73.0437025,2021-07-28 12:11:16.000
26.3539488,73.0451309,2021-07-28 12:11:32.000
26.3555342,73.0467009,2021-07-28 12:11:48.000
26.3587121,73.0498251,2021-07-28 12:12:19.000
26.359936,73.05111,2021-07-28 12:12:35.000
26.3613078,73.0526547,2021-07-28 12:12:50.000
26.3624975,73.054476,2021-07-28 12:13:06.000
26.363524,73.0560316,2021-07-28 12:13:21.000
26.3649377,73.0581317,2021-07-28 12:13:37.000
26.3661825,73.0601369,2021-07-28 12:13:52.000
26.3672455,73.0617859,2021-07-28 12:14:07.000
26.3679149,73.0626749,2021-07-28 12:14:23.000
26.3684788,73.0630872,2021-07-28 12:14:39.000
26.369337,73.0634193,2021-07-28 12:14:54.000
26.3703145,73.0636085,2021-07-28 12:15:10.000
26.3714943,73.0639158,2021-07-28 12:15:26.000
26.3729205,73.064229,2021-07-28 12:15:42.000
26.3741437,73.0644703,2021-07-28 12:15:57.000
26.3758424,73.0648736,2021-07-28 12:16:12.000
26.3775997,73.0653011,2021-07-28 12:16:27.000
26.3793742,73.0657556,2021-07-28 12:16:43.000
26.3809682,73.0661483,2021-07-28 12:16:58.000
26.3826798,73.0665221,2021-07-28 12:17:14.000
26.3841202,73.0668606,2021-07-28 12:17:29.000
26.3852871,73.0673356,2021-07-28 12:17:45.000
26.3867357,73.0683551,2021-07-28 12:18:00.000
26.3883903,73.0695882,2021-07-28 12:18:16.000
26.3898559,73.0705988,2021-07-28 12:18:32.000
26.3914627,73.0714914,2021-07-28 12:18:47.000
26.3928842,73.0723175,2021-07-28 12:19:03.000
26.3932503,73.07251,2021-07-28 12:19:19.000
26.3937481,73.0719115,2021-07-28 12:19:35.000
26.3942146,73.0712191,2021-07-28 12:19:50.000
26.395043,73.0699715,2021-07-28 12:20:06.000
26.3959361,73.068615,2021-07-28 12:20:22.000
26.3965793,73.0670754,2021-07-28 12:20:37.000
26.3973016,73.0653399,2021-07-28 12:20:53.000
26.3977605,73.0642286,2021-07-28 12:21:09.000
26.3980168,73.0636481,2021-07-28 12:21:24.000
26.3990188,73.0632345,2021-07-28 12:21:40.000
26.4001379,73.0632924,2021-07-28 12:21:56.000
26.4015416,73.0633752,2021-07-28 12:22:12.000
26.4019583,73.0634162,2021-07-28 12:22:27.000
26.4028954,73.0632605,2021-07-28 12:22:42.000
26.4034018,73.0619634,2021-07-28 12:22:58.000
26.4043442,73.0606016,2021-07-28 12:23:13.000
26.4058029,73.0595752,2021-07-28 12:23:29.000
26.4073642,73.0584431,2021-07-28 12:23:45.000
26.408818,73.0573915,2021-07-28 12:24:00.000
26.4103684,73.0563013,2021-07-28 12:24:16.000
26.4117113,73.0553402,2021-07-28 12:24:32.000
26.4130362,73.054385,2021-07-28 12:24:48.000
26.4143774,73.0535757,2021-07-28 12:25:04.000
26.4153921,73.0529689,2021-07-28 12:25:20.000
26.4155546,73.0526095,2021-07-28 12:25:35.000
26.4153358,73.0522728,2021-07-28 12:25:50.000
26.415088,73.0517273,2021-07-28 12:26:05.000
26.4143899,73.0502488,2021-07-28 12:26:21.000
26.4144616,73.0483787,2021-07-28 12:26:37.000
26.4147634,73.0464963,2021-07-28 12:26:52.000
26.4141355,73.0452104,2021-07-28 12:27:07.000
26.4135944,73.0446649,2021-07-28 12:27:18.000
26.4129656,73.0437927,2021-07-28 12:27:30.193
26.4128894,73.0436316,2021-07-28 12:27:32.000
26.4121439,73.0419864,2021-07-28 12:27:48.000
26.4114074,73.0402953,2021-07-28 12:28:04.000
26.4106417,73.0387342,2021-07-28 12:28:19.000
26.4096017,73.0379273,2021-07-28 12:28:34.000
26.4172539,73.0399743,2021-07-28 12:31:35.066
26.3966539,73.0320431,2021-07-28 12:31:36.759
26.3503412,72.995539,2021-07-28 13:35:19.000
26.3494807,72.9950435,2021-07-28 13:35:35.000
26.349292,72.9949136,2021-07-28 13:35:39.000
26.3494672,72.9912672,2021-07-28 13:37:41.240
26.3347148,72.9905291,2021-07-28 13:39:41.303
26.2946491,72.9917753,2021-07-28 13:49:45.295
26.2946491,72.9917753,2021-07-28 13:52:01.055
26.2783042,72.9914731,2021-07-28 13:53:18.997
26.2782935,72.9971716,2021-07-28 13:55:02.074
26.2782314,72.999989,2021-07-28 13:55:12.922
